Date,Open,High,Low,Close,Volume
2022-10-19,151.01650793593652,155.0837867581184,149.80328310196,152.8164520263672,6220500
2022-10-20,154.13906908792163,160.40407944694752,152.74685130770953,156.62518310546875,9203400
2022-10-21,156.62518180365805,159.53890012446837,153.96007488253608,159.2803497314453,8335500
2022-10-24,160.28473011046128,160.67257845085473,157.5201726325159,159.75767517089844,6259200
2022-10-25,160.80185729654306,165.10780874782165,160.7919183027749,164.35203552246094,5804500
2022-10-26,158.91241518298247,163.2084124269024,157.81851891710397,159.0218048095703,6617500
2022-10-27,160.9013026920169,163.7454177428573,158.43508182857215,158.86268615722656,4987700
2022-10-28,158.62401856315304,162.18413577499962,157.29146504741075,162.11453247070312,5055400
2022-10-31,161.21952948047905,163.08909222262534,160.10575516977244,161.68692016601562,4878100
2022-11-01,164.08353322581593,164.77964215014848,158.75330390315526,158.93231201171875,4545900
2022-11-02,158.62402212136502,158.88258770493104,149.12707818619538,149.17678833007812,7238200
2022-11-03,148.1723795796049,149.58449036947943,145.31832584876247,145.5172119140625,5999400
2022-11-04,145.68628233049313,146.13377982161578,135.28437454008144,138.99366760253906,14265300
2022-11-07,139.83894522899723,144.12500363791005,137.99922984432328,143.78689575195312,7379900
2022-11-08,144.2841135465563,150.71817801920454,144.2741745528589,146.282958984375,9101800
2022-11-09,145.039876595467,145.51720616814598,141.15159120014334,141.2709197998047,5588500
2022-11-10,150.16128939986686,155.50145755130967,148.89833920717763,155.43185424804688,8777900
2022-11-11,155.62079428683012,159.03173534291184,154.7158451672036,156.85389709472656,7382500
2022-11-14,154.95451062083166,159.27040060301314,153.79099599117853,157.7787322998047,6580100
2022-11-15,161.7763970315171,164.33212941395783,159.85712437696657,161.1697998046875,8116100
2022-11-16,159.1112915829558,159.92674423585535,152.9755642221723,154.25839233398438,6454700
2022-11-17,149.35577378107752,150.91704534343657,147.51604351542227,148.85855102539062,7357900
2022-11-18,150.99662417394129,151.47396901225818,144.84100315956195,147.2177276611328,7555700
2022-11-21,145.2089401196815,146.52160032499,142.60348252026768,144.04544067382812,8015900
2022-11-22,144.39349754916745,148.5502880322349,142.1261628035072,148.42100524902344,7017700
2022-11-23,146.800060020219,152.0606859353298,146.73045671615535,151.3944091796875,5558900
2022-11-25,151.22535603167995,153.1843999859076,150.53918611099388,152.4982452392578,3023700
2022-11-28,151.15574905572035,154.45731612126485,151.15574905572035,152.83636474609375,7931700
2022-11-29,151.8717257670137,153.16450801815787,150.41982858593656,150.83749389648438,6398100
2022-11-30,149.9126757593497,159.3599090576172,149.2961243366279,159.3599090576172,14591500
2022-12-01,146.73043499244093,146.77020613544107,141.29081695162387,146.18348693847656,33721500
2022-12-02,143.48856023747933,144.4034636146177,141.98695272598175,143.75706481933594,15086700
2022-12-05,142.00683926434462,143.58800417723256,132.14194041718267,133.18609619140625,20294600
2022-12-06,131.9728827870513,133.80265905669313,130.18287766499486,132.52976989746094,16981800
2022-12-07,131.76404874579836,133.00710580943797,129.2978277802676,129.75526428222656,12915900
2022-12-08,127.71662657823995,130.72981036316764,126.31446238718803,129.40719604492188,15156900
2022-12-09,129.01937406464805,132.6292011752022,127.64703431863185,130.3817596435547,10287500
2022-12-12,130.37182109975626,133.34520366099096,130.22264515891618,132.3706512451172,11852400
2022-12-13,136.62687207249198,139.10304692863627,133.29547344536903,134.86669921875,12579800
2022-12-14,134.2600915243621,136.50754823367558,132.48997961602075,134.0015411376953,9611800
2022-12-15,130.93864844075182,133.3750370907705,128.95969626266915,129.71548461914062,10807300
2022-12-16,128.20392446157308,129.1585989106523,126.18520111488944,127.55754089355469,15464700
2022-12-19,127.0603009326951,128.86025248562495,126.49346728897018,128.2934112548828,9441400
2022-12-20,126.79181383469118,129.26798883811563,126.48353812693881,127.73653411865234,8455500
2022-12-21,127.24925680159912,131.42593283232316,125.89681019207146,129.57626342773438,9313200
2022-12-22,127.95532661335285,128.8204895181163,125.6382663075708,128.47244262695312,9968600
2022-12-23,128.01497577715722,129.13870414274717,126.88130841838017,128.72103881835938,5821300
2022-12-27,127.84592331676475,131.0182071939361,126.9409817702001,129.93426513671875,8300800
2022-12-28,128.98954192310703,130.41159180865915,127.4580872435514,127.75642395019531,6249800
2022-12-29,128.97958085635952,132.2115287950356,128.78069478724785,131.80380249023438,7628800
2022-12-30,129.8845479886158,131.9032714602817,129.6359365741344,131.85354614257812,5630200
2023-01-03,134.43909839383295,136.1893171260182,132.2910923311271,134.0313720703125,8196400
2023-01-04,140.43561803783416,141.06212366253214,136.85560757389803,138.81466674804688,14322600
2023-01-05,136.8755002907263,137.820220634681,133.4943911100348,135.5827178955078,8493500
2023-01-06,136.81581980266898,140.86320527738286,134.79709656170715,139.7295379638672,9145700
2023-01-09,141.7979994589499,148.37128571354268,141.7979994589499,146.282958984375,13679700
2023-01-10,145.00011203169882,148.45083951387915,144.7912869509646,146.62106323242188,6527700
2023-01-11,144.4730479724541,146.2232666739537,142.76260041629172,144.09515380859375,13595000
2023-01-12,147.01882437312247,148.98783745934114,143.1404928530578,148.76905822753906,11678000
2023-01-13,145.38795271705013,149.1270781167166,145.27856308729315,148.6795654296875,8378100
2023-01-17,148.76908372839233,149.65413980001583,145.28852375642896,147.64535522460938,9407600
2023-01-18,148.0331525210346,148.70936815367185,144.4829749275882,144.64208984375,7812600
2023-01-19,142.72282431383348,145.8652606035137,142.36482332209343,145.59677124023438,7070100
2023-01-20,143.4985029722587,150.68834040438648,143.4985029722587,150.40989685058594,10127100
2023-01-23,156.47601705864446,156.99311783155514,152.37889097751176,155.0042266845703,19922900
2023-01-24,155.03406416751966,159.32013748280556,153.64184638638355,153.99984741210938,6390200
2023-01-25,150.3701101074625,155.5312694848524,148.98783147516102,155.30255126953125,9390500
2023-01-26,157.3113508828066,164.25257687755365,157.2218544211492,164.1730194091797,13354600
2023-01-27,164.13325614789414,166.3110945304062,162.69131300267125,163.606201171875,9872300
2023-01-30,163.15871462190867,165.515546094564,162.49242264428636,163.83493041992188,8169800
2023-01-31,163.367526291777,167.07680422953499,163.367526291777,167.0370330810547,6421300
2023-02-01,166.7983673147565,172.1186576976404,166.07242622728364,170.86566162109375,8853900
2023-02-02,174.73403165751267,177.8466358641838,171.93962695755638,173.6699676513672,10667100
2023-02-03,169.07564225107384,174.10753447263332,168.91652731604353,170.0899658203125,6481700
